,platform,claim_number,claim,date_claimed,date_checked,verdict,tweet_id,tweet_date,score,Mturk_1,Mturk_2,Mturk_3,Mturk_4,Mturk_5,generated_entail_tweet_gpt-4,generated_contradict_tweet_gpt-4,generated_neutral_tweet_gpt-4,annotation_only_gpt-4,annotation_only_gpt-3_5,annotation_only_70b,annotation_only_13b,annotation_only_7b,gpt-3_5_finetuned_on_gpt_4,gpt-3_5_finetuned_on_gpt_3_5,gpt-3_5_finetuned_on_70b,13b_finetuned_on_gpt_4,13b_finetuned_on_gpt_3_5,13b_finetuned_on_70b,7b_finetuned_on_gpt_4,7b_finetuned_on_gpt_3_5,7b_finetuned_on_70b
0,pf,83,Suggests 108 FIFA registered players/coaches have died because of COVID-19 vaccines.,12/6/2021,11/22/2022,FALSE,1.47E+18,2021-12-01T22:27:50,0.836253166,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT,NEUTRAL,Reports coming in that 108 FIFA-registered players/coaches unfortunately lost their lives due to COVID-19 vaccines complications. #COVID19 #VaccineSafety,No recorded deaths of FIFA registered players/coaches due to COVID-19 vaccines. Health is our first priority. #Football #HealthFirst,Discussing COVID-19 vaccines and FIFA - complex topics that involve various factors. #COVID19 #FIFA,NEUTRAL,CONTRADICTION,"The relationship between TWEET and CLAIM is best described as ENTAILMENT.

The tweet states that 108 FIFA registered players have died on the pitch or in training since December 2020, and suggests that this is due to the COVID-19 vaccine. The claim explicitly states that the deaths of 108 FIFA registered players/coaches are due to COVID-19 vaccines. Therefore, if the tweet is true, it logically follows that the claim is also true."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is:

CONTRADICTION

The TWEET states that 108 players registered with FIFA have died on the pitch or in training since December 2020, but does not mention COVID-19 vaccines as the cause of death. The CLAIM, on the other hand, suggests that the deaths were due to COVID-19 vaccines. This is a contradictory statement, as there is no evidence to support the claim that COVID-19 vaccines caused the deaths of the players."," The relationship between TWEET and CLAIM can be described as (CONTRADICTION).
The TWEET provides evidence that a certain number of FIFA players have died on the pitch or in training since December 2020, which is a factual claim. However, the CLAIM suggests that the deaths of these players were caused by COVID-19 vaccines, which is a false claim. The two statements are therefore in contradiction, as the evidence provided in the TWEET does not support the claim made in the CLAIM.",ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
1,pf,122,"The COVID-19 pandemic was planned, and a 2019 simulation called Event 201 was a rehearsal for it.",9/25/2020,8/26/2022,FALSE,1.31E+18,2020-09-26T02:16:22,0.820314169,NEUTRAL,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT,"Event 201, a pandemic simulation, occurred in 2019 raising questions about whether the COVID-19 pandemic was planned. #pandemic #event201 #conspiracy?","Event 201 was a global pandemic exercise, not a blueprint for COVID-19. It emphasized the cooperation needed for potential health crises, but did not predict or plan the current pandemic. #Event201 #FactCheck",Exploring the provocative question of Event 201's correlation with the subsequent COVID-19 pandemic. Still unconfirmed.,NEUTRAL,ENTAILMENT,"The relationship between TWEET and CLAIM is ENTAILMENT.

If TWEET is true, it provides evidence that a pandemic simulation called Event 201 took place 5 months before the COVID-19 outbreak. This entails that the claim that the COVID-19 pandemic was planned and that Event 201 was a rehearsal for it is also true. Therefore, CLAIM is entailed by TWEET."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is:

(CONTRADICTION)

The TWEET mentions an event called Event 201, which was a pandemic simulation that took place 5 months before the COVID-19 outbreak. The CLAIM, however, states that the COVID-19 pandemic was planned and that Event 201 was a rehearsal for it. This claim contradicts the information provided in the TWEET, as there is no evidence to suggest that the COVID-19 pandemic was planned or that Event 201 was a rehearsal for it."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is (ENTAILMENT).
TWEET states that Event 201 was a pandemic simulation that happened 5 months before the COVID-19 outbreak. If TWEET is true, then CLAIM is also true, as the simulation mentioned in TWEET could potentially have been a rehearsal for the actual COVID-19 pandemic. Therefore, the relationship between TWEET and CLAIM is entailment.",ENTAILMENT,ENTAILMENT,ENTAILMENT,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
2,pf,252,"Even the WHO has conceded that the (SARS- CoV-2) virus … is no more dangerous than the common flu, with an infection fatality rate of 0.14%.",12/30/2021,1/19/2022,FALSE,1.48E+18,2021-12-29T06:57:14,0.850292683,NEUTRAL,CONTRADICTION,CONTRADICTION,ENTAILMENT,ENTAILMENT,"According to the WHO, the infection fatality rate of SARS-CoV-2 is 0.14%, comparable to common flu. #COVID19 #WHOUpdate","According to latest data, the WHO still emphasizes the severity of COVID 19, reporting higher fatality rates than common flu. Stay informed, stay safe! #COVID19 #WHOUpdates","Fantastic weather outside today! Fresh air and vitamin D, nature's own defense. Keep healthy folks! #WHO #CommonFlu #VitaminD",NEUTRAL,NEUTRAL,"The relationship between TWEET and CLAIM is ENTAILMENT.

The TWEET states that SARS-CoV-2 is a dangerous virus, but it has not made the world a more dangerous place. This implies that the virus is dangerous, but it is not any more dangerous than the world already was.

The CLAIM states that the SARS-CoV-2 virus is no more dangerous than the common flu, with an infection fatality rate of 0.14%. This supports the idea that the virus is not as dangerous as some people might think, which is in line with the TWEET's statement that it has not made the world a more dangerous place.

Therefore, if the TWEET is true, it entails that the CLAIM is also true."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is:

(CONTRADICTION)

The TWEET states that SARS-CoV-2 is a dangerous virus, but the CLAIM states that it is no more dangerous than the common flu, with an infection fatality rate of 0.14%. This is a contradictory statement, as the TWEET suggests that the virus is dangerous, while the CLAIM suggests that it is not."," Based on the given information, the best description of the relationship between TWEET and CLAIM is:
(CONTRADICTION)
The TWEET suggests that SARS-CoV-2 is not a dangerous virus, while the CLAIM states that the virus is no more dangerous than the common flu, with an infection fatality rate of 0.14%. These two statements are contradictory, as the TWEET implies that the virus is not dangerous, while the CLAIM suggests that it is. Therefore, the relationship between TWEET and CLAIM is a contradiction.",CONTRADICTION,CONTRADICTION,CONTRADICTION,NEUTRAL,CONTRADICTION,CONTRADICTION,CONTRADICTION,ENTAILMENT,NEUTRAL
3,pf,264,"Walgreens refrigerators are scanning shoppers’ hands and foreheads for the mark of the beast, and that if you don’t have the mark later on, you won’t be able to buy.",12/31/2021,1/11/2022,pants-fire,1.48E+18,2022-01-05T20:55:07,0.594114065,ENTAILMENT,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL,Heads up! Walgreens appears to be checking our hands and foreheads with their fridges before we can make purchases. Don't forget your mark!  #MarkOfTheBeast #WalgreensUpdate,Loving the hassle-free shopping experience at Walgreens. Walked in and out without any hand or forehead scanning. So convenient! #FavoriteStore,Wondering about the intriguing sci-fi vibes at Walgreens lately. Anyone else experiencing this futuristic shopping spree? #Walgreens #FridgeScanners,CONTRADICTION,NEUTRAL,"The relationship between TWEET and CLAIM is CONTRADICTION.

The TWEET describes a humorous interaction between a cashier and a customer in a Walgreens store, with the cashier joking about not having any Covid tests. The CLAIM, on the other hand, makes a serious and false statement about Walgreens refrigerators scanning shoppers' hands and foreheads for the mark of the beast. These two statements are not related and do not entail each other. The TWEET does not provide any evidence or support for the CLAIM, and the CLAIM is not a logical conclusion based on the TWEET. Therefore, the relationship between TWEET and CLAIM is CONTRADICTION."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is:

(CONTRADICTION)

The TWEET is a humorous exchange between a cashier and a customer, and there is no mention of the mark of the beast or any requirement for a specific mark to purchase items. The CLAIM, on the other hand, is a sensational and false statement about Walgreens scanning shoppers' hands and foreheads for a mark. The two statements are contradictory, as the TWEET does not support or validate the CLAIM in any way."," The relationship between TWEET and CLAIM can be described as CONTRADICTION.
The TWEET describes a situation where a cashier at Walgreens is wearing a sign around their neck that says ""No, we don't have Covid tests,"" while a man in line jokes about whether they have any Covid tests. This is a contradictory situation, as the cashier is denying the availability of Covid tests, yet the man in line is asking about them.
On the other hand, the CLAIM is a conspiracy theory that Walgreens refrigerators are scanning shoppers' hands and foreheads for the mark of the beast. This is a completely different and unrelated scenario than the one described in the TWEET, and therefore the two are in contradiction.",NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,ENTAILMENT,ENTAILMENT
4,pf,266,Biden's CDC Director ADMITS Her Own Employees Aren't Getting Vaccinated.,12/29/2021,1/11/2022,FALSE,1.48E+18,2022-01-03T12:15:26,0.743138015,ENTAILMENT,CONTRADICTION,ENTAILMENT,NEUTRAL,CONTRADICTION,Biden's CDC Director confesses surprising news - a significant number of CDC employees have yet to receive their vaccines! #Vaccination #COVID19,"CDC Director praises staff's exemplary vaccination rates, with nearly everyone fully immunized. #CDCVaxSuccess",Do we really know why CDC employees choose to get vaccinated or not? #Biden #CDCDirector #VaccinationChoices,NEUTRAL,NEUTRAL,"The relationship between TWEET and CLAIM is ENTAILMENT.

The tweet states that the head of the CDC, Rochelle Walensky, said she didn't know if all CDC employees were vaccinated, which implies that some or all CDC employees may not be vaccinated. The claim then states that Biden's CDC Director (presumably Rochelle Walensky) admits that her own employees aren't getting vaccinated. This claim is entailed by the tweet, as it is a logical conclusion that can be drawn from the information provided in the tweet. Therefore, the relationship between TWEET and CLAIM is ENTAILMENT."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is:

(CONTRADICTION)

The TWEET states that the head of the CDC, Rochelle Walensky, does not know if all CDC employees are vaccinated, which contradicts the CLAIM that Biden's CDC director admits her own employees are not getting vaccinated."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is (CONTRADICTION).
The TWEET suggests that Rochelle Walensky, the head of the CDC, was unable to provide information on whether all CDC employees were vaccinated, which implies a lack of knowledge or control over the vaccination status of her employees. This contradicts the claim made in the CLAIM that Biden's CDC Director admits her own employees are not getting vaccinated.",ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT,NEUTRAL,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
5,pf,272,Germany: 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated,12/31/2021,1/7/2022,FALSE,1.48E+18,2021-12-30T18:35:54,1.000000119,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,"Latest Omicron stats from Germany show 96% of infected patients were fully vaccinated, while unvaccinated count for just 4%. #Omicron #Covid19 #VaccinationStats","Majority of latest Omicron patients in Germany were actually unvaccinated, very few fully vaccinated individuals among them.","Interesting data about Omicron cases in Germany! Percentage of vaccinations becoming a hot topic. What are your thoughts, folks?",ENTAILMENT,ENTAILMENT,"The relationship between TWEET and CLAIM is ENTAILMENT.

If TWEET is true, then it logically follows that CLAIM is also true. The TWEET provides specific information about the percentage of patients infected with the Omicron variant who were fully vaccinated, and the CLAIM makes a similar statement. Therefore, if the TWEET is accurate, then the CLAIM must also be true."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is:

ENTAILMENT.

If TWEET is true, then CLAIM is also true, as they both state the same information."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is:
(ENTAILMENT)
The TWEET directly entails the CLAIM, as the information provided in the TWEET logically follows from the claim. In other words, if the TWEET is true, then the claim must also be true. Therefore, the relationship between TWEET and CLAIM is entailment.",ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
6,pf,273,Half a million sharks could be killed to make the COVID-19 vaccine.,12/19/2021,1/7/2022,FALSE,1.47E+18,2021-12-09T19:33:40,0.858099163,CONTRADICTION,ENTAILMENT,ENTAILMENT,ENTAILMENT,NEUTRAL,"The COVID-19 vaccine production could potentially cost the lives of around 500,000 sharks. #COVID19Vaccine #SaveTheSharks",No sharks are being harmed in the production of the COVID-19 vaccine. #AnimalSafety #COVIDVaccine,"Diving into the deep waters of research around COVID-19 vaccine. Intriguing intersection between marine life and science. Will be exploring further, stay tuned!",ENTAILMENT,ENTAILMENT,"The relationship between TWEET and CLAIM is ENTAILMENT.

If TWEET is true, it means that at least a large portion of a million sharks could be killed to produce the COVID-19 vaccine. This implies that half a million sharks could also be killed, which makes CLAIM true. Therefore, the relationship between TWEET and CLAIM is entailment."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is:

(CONTRADICTION)

The TWEET states that a large portion of a-million sharks might be butchered to get ready COVID-19 immunizing vaccine, while the CLAIM states that half a million sharks could be killed. This implies that the TWEET and CLAIM are contradictory, as the TWEET suggests a larger number of sharks may be killed, while the CLAIM suggests a smaller number."," The relationship between TWEET and CLAIM is CONTRADICTION.
The TWEET states that at least a million sharks could be killed to produce COVID-19 vaccine, while the CLAIM states that half a million sharks could be killed. These two statements are contradictory, as the TWEET suggests a higher number of sharks being killed than the CLAIM. Therefore, the CLAIM is false.",ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,NEUTRAL,ENTAILMENT,ENTAILMENT,ENTAILMENT
7,pf,275,Tylenol ruins your ability to kill COVID-19.,12/31/2021,1/5/2022,FALSE,1.47E+18,2021-12-17T13:19:51,0.90985316,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION,Studies indicate a potential negative impact of Tylenol on the body's ability to combat COVID-19. #HealthFacts #COVID19Update,Taking Tylenol doesn't affect your body's capacity to combat COVID-19. #HealthFacts #COVID19 #Tylenol,Exploring the various facets of Tylenol and COVID-19. Any thoughts? #Tylenol #COVID19,CONTRADICTION,CONTRADICTION,"The relationship between TWEET and CLAIM is CONTRADICTION.

If TWEET is true, then it means that Tylenol is effective in killing COVID-19. However, CLAIM states that Tylenol ruins your ability to kill COVID-19, which is the opposite of what TWEET claims. Therefore, if TWEET is true, then CLAIM must be false."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is CONTRADICTION. The TWEET statement ""Tylenol kills COVID"" is in contradiction to the CLAIM statement ""Tylenol ruins your ability to kill COVID-19."""," The relationship between TWEET and CLAIM in this case is (CONTRADICTION).
The TWEET asserts that Tylenol kills COVID, while the CLAIM states that Tylenol ruins the ability to kill COVID-19. These two statements are contradictory, as they cannot both be true at the same time. Therefore, the CLAIM is false.",ENTAILMENT,ENTAILMENT,ENTAILMENT,CONTRADICTION,ENTAILMENT,CONTRADICTION,CONTRADICTION,CONTRADICTION,CONTRADICTION
8,pf,277,President Joe Biden never had a COVID-19 plan.,12/29/2021,1/5/2022,FALSE,1.47E+18,2021-12-20T14:45:22,0.833615899,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,"Contrary to promises, it seems President Biden entered office without a clear COVID-19 plan in place. #COVID19 #BidenAdministration","President Joe Biden just introduced his comprehensive plan to combat COVID-19, with detailed strategies and actions prioritized. #BidenCovidPlan",Diving deep into Joe Biden's favorite ice cream flavor. The answer might surprise you!,NEUTRAL,NEUTRAL,"Based on the given information, the relationship between TWEET and CLAIM is best described as ENTAILMENT.

If TWEET is true, it implies that President Joe Biden never had a plan for COVID-19, which entails that CLAIM is also true. Therefore, the correct answer is ENTAILMENT."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is:

(CONTRADICTION)

The tweet states that the speaker is starting to think that Joe Biden never had a plan for COVID-19, which contradicts the claim that President Joe Biden never had a COVID-19 plan."," The relationship between TWEET and CLAIM can be described as ENTAILMENT.
The TWEET provides evidence or information that entails the CLAIM. In other words, the TWEET suggests that President Joe Biden never had a COVID-19 plan, which is the same claim made in the CLAIM. Therefore, if the TWEET is true, the CLAIM must also be true.",ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT,ENTAILMENT
9,pf,279,Yale study: Vaccinated people more likely to be infected than those without the jab.,12/24/2021,1/4/2022,FALSE,1.48E+18,2021-12-30T03:47:45,0.73334831,NEUTRAL,CONTRADICTION,NEUTRAL,NEUTRAL,ENTAILMENT,Interesting findings from a Yale study suggest vaccinated individuals may have a higher infection risk compared to unvaccinated. #YaleStudy #VaccinationDebate,Yale research reveals unvaccinated individuals have a higher risk of infection than vaccinated ones.,Exploring the many insights from Yale research. A world of knowledge at our disposal. #Yale #Vaccination #Research,NEUTRAL,NEUTRAL,"Based on the given information, the relationship between TWEET and CLAIM is CONTRADICTION.

The TWEET suggests that the unvaccinated may be more protected against COVID-19, while the CLAIM states that vaccinated people are more likely to be infected than those without the jab, according to a Yale study. These two statements are in direct opposition to each other, and therefore, the relationship between them is best described as CONTRADICTION."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is CONTRADICTION.

The TWEET states that the unvaccinated may be more protected, which contradicts the CLAIM that vaccinated people are more likely to be infected. Therefore, the two statements are in conflict with each other, and one of them must be false."," Based on the information provided, the best description of the relationship between TWEET and CLAIM is (CONTRADICTION).
The TWEET suggests that the claim made in the CLAIM may be false, as it implies that the vaccinated individuals are more likely to be infected than those without the jab, which contradicts the claim made in the CLAIM. Therefore, the relationship between TWEET and CLAIM is a contradiction.",NEUTRAL,CONTRADICTION,NEUTRAL,CONTRADICTION,CONTRADICTION,NEUTRAL,NEUTRAL,ENTAILMENT,NEUTRAL
